,close,date,high,low,market_cap,open,volume
0,0.005451,"Jun 08, 2018",0.005592,0.005304,"932,493",0.005546,"33,200"
1,0.005579,"Jun 07, 2018",0.005849,0.004520,"765,133",0.004551,"34,487"
2,0.004529,"Jun 06, 2018",0.005249,0.004351,"814,635",0.004845,"29,485"
3,0.005187,"Jun 05, 2018",0.005387,0.004475,"848,935",0.005049,"34,371"
4,0.004354,"Jun 04, 2018",0.005850,0.004163,"969,760",0.005768,"28,169"
5,0.005671,"Jun 03, 2018",0.005924,0.005188,"970,662",0.005774,"34,080"
6,0.005869,"Jun 02, 2018",0.006064,0.005001,"875,968",0.005210,"38,003"
7,0.005030,"Jun 01, 2018",0.005302,0.004939,"840,380",0.004999,"23,309"
8,0.004995,"May 31, 2018",0.005292,0.004916,"828,802",0.004930,"24,007"
9,0.004980,"May 30, 2018",0.005256,0.004508,"777,613",0.004626,"30,219"
10,0.004664,"May 29, 2018",0.004880,0.003992,"774,351",0.004607,"22,351"
11,0.004608,"May 28, 2018",0.005027,0.004598,"841,660",0.005007,102
12,0.005006,"May 27, 2018",0.005121,0.005005,"860,761",0.005121,41
13,0.005119,"May 26, 2018",0.005385,0.004971,"839,908",0.004997,68
14,0.005003,"May 25, 2018",0.006045,0.004831,"815,148",0.004850,"2,880"
15,0.004841,"May 24, 2018",0.005094,0.004802,"821,895",0.004890,"3,053"
16,0.004902,"May 23, 2018",0.005555,0.004862,"930,852",0.005538,109
17,0.005544,"May 22, 2018",0.005867,0.004891,"899,684",0.005353,735
18,0.005354,"May 21, 2018",0.006459,0.005314,"971,292",0.005779,"2,262"
19,0.005772,"May 20, 2018",0.005843,0.005318,"932,399",0.005548,684
20,0.005544,"May 19, 2018",0.005692,0.004678,"791,130",0.004708,168
21,0.004708,"May 18, 2018",0.005968,0.004581,"1,002,870",0.005968,991
22,0.005962,"May 17, 2018",0.006192,0.005925,"1,028,880",0.006122,"1,722"
23,0.006119,"May 16, 2018",0.006261,0.005474,"1,051,200",0.006255,"1,976"
24,0.006259,"May 15, 2018",0.006694,0.005453,"988,977",0.005885,"1,506"
25,0.005895,"May 14, 2018",0.006060,0.005391,"1,002,600",0.005967,667
26,0.005968,"May 13, 2018",0.006548,0.004690,"790,635",0.004705,265
27,0.004707,"May 12, 2018",0.005428,0.004471,"904,622",0.005384,389
28,0.005400,"May 11, 2018",0.005914,0.005355,"988,102",0.005881,"3,010"
29,0.005874,"May 10, 2018",0.006353,0.005748,"979,376",0.005829,428
30,0.005831,"May 09, 2018",0.006578,0.005313,"1,098,790",0.006540,"3,641"
31,0.006550,"May 08, 2018",0.006857,0.005641,"1,027,670",0.006117,865
32,0.006104,"May 07, 2018",0.006367,0.005757,"1,046,200",0.006227,331
33,0.006223,"May 06, 2018",0.006702,0.005955,"1,117,900",0.006654,"2,035"
34,0.006650,"May 05, 2018",0.006980,0.006511,"1,118,400",0.006657,255
35,0.006660,"May 04, 2018",0.006844,0.006413,"1,149,770",0.006844,"1,681"
36,0.006847,"May 03, 2018",0.006880,0.006205,"1,051,060",0.006257,"1,807"
37,0.006257,"May 02, 2018",0.006280,0.005960,"1,001,230",0.005960,725
38,0.005969,"May 01, 2018",0.006368,0.005860,"1,069,610",0.006368,"1,346"
39,0.006362,"Apr 30, 2018",0.006510,0.005858,"1,083,610",0.006451,"1,151"
40,0.006450,"Apr 29, 2018",0.006795,0.006143,"1,072,530",0.006385,"2,533"
41,0.006161,"Apr 28, 2018",0.006487,0.005813,"1,033,560",0.006153,"3,225"
42,0.006175,"Apr 27, 2018",0.006606,0.006175,"1,084,770",0.006459,"2,158"
43,0.006450,"Apr 26, 2018",0.006464,0.005711,"983,118",0.005853,395
44,0.005805,"Apr 25, 2018",0.006596,0.005797,"1,107,820",0.006596,431
45,0.006641,"Apr 24, 2018",0.006777,0.005960,"1,001,370",0.005962,"1,855"
46,0.005960,"Apr 23, 2018",0.006006,0.005736,"981,757",0.005846,519
47,0.005858,"Apr 22, 2018",0.006120,0.005576,"1,016,000",0.006050,"1,526"
48,0.006049,"Apr 21, 2018",0.006049,0.005622,"966,157",0.005753,892
49,0.005751,"Apr 20, 2018",0.006486,0.005265,"912,458",0.005434,"5,723"
50,0.005430,"Apr 19, 2018",0.006385,0.005428,"961,728",0.005727,"1,566"
51,0.005721,"Apr 18, 2018",0.005822,0.005348,"924,040",0.005503,912
52,0.005498,"Apr 17, 2018",0.005923,0.005385,"951,138",0.005665,"9,889"
53,0.005662,"Apr 16, 2018",0.005953,0.005318,"989,876",0.005896,"4,610"
54,0.005898,"Apr 15, 2018",0.006730,0.005817,"1,011,980",0.006027,"10,610"
55,0.006021,"Apr 14, 2018",0.006243,0.005632,"1,019,510",0.006072,"1,269"
56,0.006072,"Apr 13, 2018",0.006286,0.004864,"1,013,490",0.006037,"2,502"
57,0.006077,"Apr 12, 2018",0.006083,0.005110,"886,062",0.005278,"1,535"
58,0.005291,"Apr 11, 2018",0.005895,0.005020,"953,339",0.005679,"6,207"
59,0.005673,"Apr 10, 2018",0.006061,0.005199,"943,582",0.005621,"9,888"
60,0.005616,"Apr 09, 2018",0.006958,0.005576,"1,141,790",0.006802,"1,067"
61,0.006791,"Apr 08, 2018",0.006937,0.006477,"1,087,180",0.006477,"2,454"
62,0.006471,"Apr 07, 2018",0.006617,0.006096,"1,024,690",0.006105,888
63,0.006098,"Apr 06, 2018",0.006366,0.005747,"1,056,070",0.006292,391
64,0.006324,"Apr 05, 2018",0.006797,0.005911,"1,136,500",0.006772,661
65,0.006769,"Apr 04, 2018",0.008116,0.006059,"1,122,970",0.006691,"1,891"
66,0.006696,"Apr 03, 2018",0.006850,0.006372,"1,069,300",0.006372,"1,495"
67,0.006367,"Apr 02, 2018",0.006448,0.005882,"1,043,450",0.006218,"1,107"
68,0.006187,"Apr 01, 2018",0.006332,0.005405,"1,028,890",0.006131,"1,293"
69,0.006131,"Mar 31, 2018",0.006500,0.005816,"1,018,140",0.006067,228
70,0.006066,"Mar 30, 2018",0.006297,0.005755,"1,047,330",0.006241,123
71,0.006257,"Mar 29, 2018",0.007103,0.006070,"1,186,750",0.007072,487
72,0.007064,"Mar 28, 2018",0.007727,0.006950,"1,166,110",0.006950,915
73,0.006951,"Mar 27, 2018",0.007705,0.006511,"1,287,370",0.007672,"1,971"
74,0.007684,"Mar 26, 2018",0.007932,0.004438,"1,323,050",0.007886,"1,182"
75,0.007892,"Mar 25, 2018",0.010460,0.006954,"1,305,790",0.007783,"6,098"
