,RsquaredTest,name
0,0.9249818294972839,bitcoin
1,0.9944658616108182,ethereum
2,0.7188291145319575,ripple
3,0.9073106839137925,bitcoin-cash
4,0.9183203085654346,litecoin
5,0.9805007941950776,eos
6,0.9662062780158103,cardano
7,0.9876142845374524,stellar
8,0.9924328917602553,neo
9,0.9747613138420289,iota
10,0.9628270037329979,dash
11,0.9933639626507523,monero
12,0.9640773388509417,tron
13,0.9836466754292414,nem
14,0.10891616735097631,tether
15,0.979873035246519,ethereum-classic
16,0.9807850790715951,vechain
17,0.6359202525517023,qtum
18,0.9841425494484015,icon
19,0.87009757047297,binance-coin
20,0.9453489967724352,lisk
21,0.9330873301185391,omisego
22,0.24098829041387315,bitcoin-gold
23,0.19586816902308946,nano
24,-22.282840735694702,zcash
25,0.9698571523963272,digixdao
26,0.9468650563343608,populous
27,0.956823912216635,verge
28,0.988709157826841,stratis
29,0.8762276566041974,steem
30,0.9934839189449143,siacoin
31,0.982519777704415,bytecoin-bcn
32,0.9855690183093695,waves
33,0.9747104741000543,bitshares
34,0.7756516671264768,maker
35,0.9544322238166065,rchain
36,-973.5226442543803,ontology
37,0.3348240144462049,bitcoin-diamond
38,0.9627679174095496,dogecoin
39,0.9379125073524988,bytom
40,0.5343070999085912,aeternity
41,0.958099161387613,augur
42,0.8290029480593236,veritaseum
43,0.9909346799354128,decred
44,0.8555992747560197,waltonchain
45,0.9775910030679248,status
46,0.9691556549602849,zilliqa
47,0.959345739001668,komodo
48,0.9506691043247198,aion
49,0.6992863847405881,0x
50,0.857741165619466,hshare
51,0.7364352453753502,ark
52,0.9891091654063421,ardor
53,0.9727445146608917,kucoin-shares
54,0.9504642027910578,cryptonex
55,0.9680283824644724,loopring
56,0.9403519357840439,qash
57,0.9071436656036727,ethos
58,0.9614481973932008,digibyte
59,0.9815059572013397,pivx
60,0.9835877056633597,factom
61,0.8877906350121317,nebulas-token
62,0.5865175844921269,iostoken
63,0.9745055521831528,monacoin
64,0.861459108696002,basic-attention-token
65,0.7345416271782168,storm
66,0.9628785104942468,golem-network-tokens
67,0.591457024528794,gas
68,0.9581549471458852,dragonchain
69,0.9942532506358861,syscoin
70,0.8302801075577176,funfair
71,0.6380432438565704,revain
72,0.9271797498248583,kyber-network
73,0.8513420296997998,electroneum
74,0.6246720059031103,aelf
75,0.8704296632963326,gxchain
76,0.9633866020256839,zcoin
77,0.9897591158034801,request-network
78,0.8501317633804868,salt
79,0.828931163727489,neblio
80,0.9689049983348637,kin
81,0.9642688508457301,substratum
82,0.9734834640798926,reddcoin
83,0.8215060172685356,chainlink
84,-125.63348787200032,nucleus-vision
